Complaint,Category,Priority
Mahal ang pasahe sa jeep kahit maiksi lang ang ruta sa munisipyo,Transportation,Medium
Mahal ang pasahe sa jeep kahit maiksi lang ang ruta sa opisina,Transportation,Low
Laging puno ang bus at hindi tumitigil sa kanto,Transportation,Medium
Walang sapat na tricycle sa hospital tuwing gabi,Transportation,Low
Hindi dumadaan ang mga jeep sa tamang ruta sa barangay plaza,Transportation,Low
Walang sapat na tricycle sa barangay plaza tuwing gabi,Transportation,High
Mahal ang pasahe sa jeep kahit maiksi lang ang ruta sa munisipyo,Transportation,Low
Walang sapat na tricycle sa hospital tuwing gabi,Transportation,Medium
Sobra ang singil sa bigas sa palengke sa barangay plaza,Overpricing,Medium
Mahal ang bilihin sa tindahan sa hospital,Overpricing,High
Mahal ang bilihin sa tindahan sa kanto,Overpricing,Medium
Hindi binabayaran ng tama ang sahod ng mga manggagawa sa opisina,Workforce Concerns,Medium
Sobra ang singil sa bigas sa palengke sa munisipyo,Overpricing,Low
Pinapapasok kahit holiday pero walang overtime pay ,Workforce Concerns,Low
Hindi binabayaran ng tama ang sahod ng mga manggagawa sa hospital,Workforce Concerns,High
Mahal ang bilihin sa tindahan sa eskwelahan,Overpricing,Medium
Sobra ang singil sa bigas sa palengke,Overpricing,Medium
Hindi binabayaran ng tama ang sahod ng mga manggagawa sa terminal,Workforce Concerns,Low
Mahal ang bilihin sa tindahan sa eskwelahan,Overpricing,Low
Mahal ang bilihin sa tindahan sa kanto,Overpricing,Medium
Hindi binabayaran ng tama ang sahod ng mga manggagawa sa munisipyo,Workforce Concerns,Low
Hindi binabayaran ng tama ang sahod ng mga manggagawa sa barangay hall,Workforce Concerns,Medium
Mahal ang bilihin sa tindahan sa barangay,Overpricing,High
Mahal ang bilihin sa tindahan sa barangay,Overpricing,Low
Pinapapasok kahit holiday pero walang overtime pay sa opisina,Workforce Concerns,Medium
Sobra ang singil sa bigas sa palengke sa eskwelahan,Overpricing,Medium
Hindi binabayaran ng tama ang sahod ng mga manggagawa,Workforce Concerns,Low
Mahal ang bilihin sa tindahan sa terminal,Overpricing,Low
Pinapapasok kahit holiday pero walang overtime pay sa kanto,Workforce Concerns,High
Sobra ang singil sa bigas sa palengke sa kanto,Overpricing,Low
Dalawang buwan na ang reklamo pero wala pa ring aksyon sa opisina,Service Delays and Inaction,High
Dalawang buwan na ang reklamo pero wala pa ring aksyon sa barangay plaza,Service Delays and Inaction,High
Dalawang buwan na ang reklamo pero wala pa ring aksyon sa palengke,Service Delays and Inaction,High
Matagal bago kumilos ang opisina tungkol sa problema sa barangay hall,Service Delays and Inaction,Low
Walang sagot sa reklamo na ipinasa sa eskwelahan,Service Delays and Inaction,Medium
Hindi agad natutugunan ang sumbong sa barangay hall,Service Delays and Inaction,Medium
Hindi agad natutugunan ang sumbong sa munisipyo,Service Delays and Inaction,Medium
Matagal bago kumilos ang opisina tungkol sa problema sa barangay,Service Delays and Inaction,High
Dalawang buwan na ang reklamo pero wala pa ring aksyon sa terminal,Service Delays and Inaction,Low
Walang sagot sa reklamo na ipinasa sa kanto,Service Delays and Inaction,Medium
Dalawang buwan na ang reklamo pero wala pa ring aksyon sa kanto,Service Delays and Inaction,Medium
Matagal bago kumilos ang opisina tungkol sa problema sa terminal,Service Delays and Inaction,Medium
Matagal bago kumilos ang opisina tungkol sa problema sa palengke,Service Delays and Inaction,High
Walang sagot sa reklamo na ipinasa sa munisipyo,Service Delays and Inaction,Medium
Hindi agad natutugunan ang sumbong sa tanggapan ng gobyerno,Service Delays and Inaction,Medium
Hindi agad natutugunan ang sumbong sa barangay,Service Delays and Inaction,Medium
Hindi agad natutugunan ang sumbong sa opisina,Service Delays and Inaction,Medium
Walang sagot sa reklamo na ipinasa sa barangay ,Service Delays and Inaction,Low
Dalawang buwan na ang reklamo pero wala pa ring aksyon sa eskwelahan,Service Delays and Inaction,Low
Hindi agad natutugunan ang sumbong sa kanto,Service Delays and Inaction,Low
Walang sagot sa reklamo na ipinasa sa barangay hall,Service Delays and Inaction,High
Nagmumura ang empleyado sa opisina,Unprofessional Conduct and Behavior,High
Pinapabayaan ng guwardiya ang mga pumipila sa kanto,Unprofessional Conduct and Behavior,Low
Sinigawan ng kawani ang mga residente sa barangay plaza,Unprofessional Conduct and Behavior,Low
Sinigawan ng kawani ang mga residente sa opisina,Unprofessional Conduct and Behavior,High
Pinapabayaan ng guwardiya ang mga pumipila sa eskwelahan,Unprofessional Conduct and Behavior,Medium
Pinapabayaan ng guwardiya ang mga pumipila sa eskwelahan,Unprofessional Conduct and Behavior,Medium
Nagmumura ang empleyado sa hospital,Unprofessional Conduct and Behavior,Low
Hindi magalang ang staff sa tanggapan ng kanto,Unprofessional Conduct and Behavior,Medium
Pinapabayaan ng guwardiya ang mga pumipila sa palengke,Unprofessional Conduct and Behavior,Medium
Nagmumura ang empleyado sa barangay plaza,Unprofessional Conduct and Behavior,Low
Hindi magalang ang staff sa tanggapan ng terminal,Unprofessional Conduct and Behavior,High
Pinapabayaan ng guwardiya ang mga pumipila sa kanto,Unprofessional Conduct and Behavior,Low
Nagmumura ang empleyado sa munisipyo,Unprofessional Conduct and Behavior,Medium
Pinapabayaan ng guwardiya ang mga pumipila sa terminal,Unprofessional Conduct and Behavior,High
Pinapabayaan ng guwardiya ang mga pumipila sa barangay plaza,Unprofessional Conduct and Behavior,Low
Hindi magalang ang staff sa tanggapan ng opisina,Unprofessional Conduct and Behavior,High
Nagmumura ang empleyado sa barangay plaza,Unprofessional Conduct and Behavior,Low
Hindi magalang ang staff sa tanggapan ng hospital,Unprofessional Conduct and Behavior,Low
Hindi magalang ang staff sa tanggapan ng barangay plaza,Unprofessional Conduct and Behavior,Medium
Pinapabayaan ng guwardiya ang mga pumipila sa barangay plaza,Unprofessional Conduct and Behavior,Medium
Sinigawan ng kawani ang mga residente sa barangay plaza,Unprofessional Conduct and Behavior,Medium
Pinapabayaan ng guwardiya ang mga pumipila sa munisipyo,Unprofessional Conduct and Behavior,Low
Mahirap kumuha ng appointment sa hospital,Procedural and Operational Issues,Medium
Mabagal ang proseso ng pagkuha ng dokumento sa hospital,Procedural and Operational Issues,Low
Laging kulang ang staff sa eskwelahan,Procedural and Operational Issues,High
Palaging offline ang system,Procedural and Operational Issues,High
Laging kulang ang staff sa munisipyo,Procedural and Operational Issues,High
Mabagal ang proseso ng pagkuha ng dokumento sa opisina,Procedural and Operational Issues,Medium
Mabagal ang proseso ng pagkuha ng dokumento sa munisipyo,Procedural and Operational Issues,Medium
Palaging offline ang system,Procedural and Operational Issues,High
Laging kulang ang staff,Procedural and Operational Issues,Medium
Mabagal ang proseso ng pagkuha ng dokumento sa kanto,Procedural and Operational Issues,High
Mabagal ang proseso ng pagkuha ng dokumento sa barangay plaza,Procedural and Operational Issues,Medium
Mahirap kumuha ng appointment sa eskwelahan,Procedural and Operational Issues,High
Mahirap kumuha ng appointment sa tanggapan ng gobyerno,Procedural and Operational Issues,High
Palaging offline ang system sa barangay hall,Procedural and Operational Issues,Medium
Palaging offline ang system sa hospital,Procedural and Operational Issues,Low
Laging kulang ang staff sa hospital,Procedural and Operational Issues,High
Palaging offline ang system sa munisipyo,Procedural and Operational Issues,Low
Laging kulang ang staff sa opisina,Procedural and Operational Issues,Medium
Palaging offline ang system,Procedural and Operational Issues,Low
Mahirap kumuha ng appointment sa barangay,Procedural and Operational Issues,Low
Mabagal ang proseso ng pagkuha ng dokumento sa opisina,Procedural and Operational Issues,High
Nanghihingi ng lagay sa barangay sa barangay plaza,Governance and Integrity Concerns,Low
May katiwalian sa pagkuha ng permit sa munisipyo,Governance and Integrity Concerns,Medium
Paboritismo sa pamimigay ng ayuda sa munisipyo,Governance and Integrity Concerns,High
Nanghihingi ng lagay sa barangay sa eskwelahan,Governance and Integrity Concerns,Medium
May katiwalian sa pagkuha ng permit sa terminal,Governance and Integrity Concerns,High
Paboritismo sa pamimigay ng ayuda sa palengke,Governance and Integrity Concerns,Medium
Paboritismo sa pamimigay ng ayuda sa hospital,Governance and Integrity Concerns,Medium
Hindi transparent ang pondo sa proyekto sa barangay hall,Governance and Integrity Concerns,Low
Hindi transparent ang pondo sa proyekto sa kanto,Governance and Integrity Concerns,Medium
May katiwalian sa pagkuha ng permit sa opisina,Governance and Integrity Concerns,High
Nanghihingi ng lagay sa barangay sa kanto,Governance and Integrity Concerns,Low
Hindi transparent ang pondo sa proyekto sa terminal,Governance and Integrity Concerns,Low
Paboritismo sa pamimigay ng ayuda sa munisipyo,Governance and Integrity Concerns,Medium
May katiwalian sa pagkuha ng permit sa kanto,Governance and Integrity Concerns,High
Paboritismo sa pamimigay ng ayuda sa opisina,Governance and Integrity Concerns,Medium
May katiwalian sa pagkuha ng permit sa munisipyo,Governance and Integrity Concerns,High
Nanghihingi ng lagay sa barangay sa munisipyo,Governance and Integrity Concerns,Medium
Paboritismo sa pamimigay ng ayuda sa eskwelahan,Governance and Integrity Concerns,Low
Hindi transparent ang pondo sa proyekto sa opisina,Governance and Integrity Concerns,High
Hindi transparent ang pondo sa proyekto sa terminal,Governance and Integrity Concerns,Low
Hindi transparent ang pondo sa proyekto sa kanto,Governance and Integrity Concerns,High
Hindi transparent ang pondo sa proyekto sa opisina,Governance and Integrity Concerns,Medium
There is a pothole in front of the barangay hall,Roads & Infrastructure,High
Garbage has not been collected in our area for days,Waste Management,Medium
There has been no water supply since yesterday,Water Services,High
A streetlight post is broken on the corner,Electricity Services,Medium
There is corruption in securing building permits,Governance and Integrity Concerns,High
Trash is piling up on the side of the road,Waste Management,Medium
The road leading to the market is damaged,Roads & Infrastructure,High
Water pressure is too weak every night,Water Services,Medium
"Barangay officials are asking for bribes""",Governance and Integrity Concerns,High
There has been no electricity for the whole day,Electricity Services,High
"Jeepney fare is overpriced compared to the route""",Transportation,Medium
"Rice prices in the market are too expensive""",Overpricing,High
The processing of documents at city hall takes too long,Procedural and Operational Issues,Medium
"Government staff were rude to citizens""",Unprofessional Conduct and Behavior,High
"My complaint has not been acted upon for weeks""",Service Delays and Inaction,High
"There is a long delay in responding to permit applications""",Service Delays and Inaction,Medium
"Some barangay employees are unprofessional""",Unprofessional Conduct and Behavior,Medium
The ID application system is very slow,Procedural and Operational Issues,Low
"I reported this issue but there has been no action until now""",Service Delays and Inaction,High
"The staff shouted at people in the office""",Unprofessional Conduct and Behavior,High
"Many potholes make the road dangerous""",Roads & Infrastructure,High
"The garbage truck does not arrive on schedule""",Waste Management,Medium
"Our community has had no water for three days""",Water Services,High
"Streetlights on the main road are not functioning""",Electricity Services,Medium
"Officials demand extra payment for permits""",Governance and Integrity Concerns,High
"Uncollected waste causes foul odor""",Waste Management,Low
"The bridge is damaged and unsafe""",Roads & Infrastructure,High
"The water service is frequently interrupted""",Water Services,Medium
"Bribery is rampant in the licensing process""",Governance and Integrity Concerns,High
"Frequent brownouts affect our work""",Electricity Services,High
"Tricycle drivers charge excessive fares""",Transportation,Medium
"Wages for workers are not paid on time""",Workforce Concerns,High
Applying for clearances takes weeks,Procedural and Operational Issues,Medium
"Employees are disrespectful to senior citizens""",Unprofessional Conduct and Behavior,High
"No follow-up on submitted reports""",Service Delays and Inaction,Medium
"Applications are always delayed""",Service Delays and Inaction,Low
"Clerks and staff are not accommodating""",Unprofessional Conduct and Behavior,Medium
The passport process is very slow,Procedural and Operational Issues,High
"No update on complaint filed months ago""",Service Delays and Inaction,High
"Staff is rude and dismissive""",Unprofessional Conduct and Behavior,High
"Collapsed road section has not been repaired""",Roads & Infrastructure,High
"Waste is scattered around the market""",Waste Management,Low
"The water pipes are leaking everywhere""",Water Services,Medium
"Broken electric post still not fixed""",Electricity Services,High
"Officials pocket public funds""",Governance and Integrity Concerns,High
"Piles of uncollected trash block the street""",Waste Management,High
"The road to the school is full of holes""",Roads & Infrastructure,High
"Low water pressure is a recurring problem""",Water Services,Medium
"Permits are only approved with bribes""",Governance and Integrity Concerns,High
"Power outage lasted for two days""",Electricity Services,High
"Taxi drivers do not follow fare meters""",Transportation,Medium
"Essential goods are overpriced in stores""",Overpricing,High
Long waiting times for birth certificate requests,Procedural and Operational Issues,Medium
"Clerk was unprofessional and shouted at customers""",Unprofessional Conduct and Behavior,High
"No feedback on submitted concerns""",Service Delays and Inaction,High
"Government hotline is always unresponsive""",Service Delays and Inaction,Medium
Official are disrecpectful,Unprofessional Conduct and Behavior,Medium
Barangay officials are disrespectful,Unprofessional Conduct and Behavior,Medium
"Some employees are disrespectful""",Unprofessional Conduct and Behavior,Low
The online portal is frequently down,Procedural and Operational Issues,Medium
"No progress on case filed last month""",Service Delays and Inaction,High
"Staff use foul language with citizens""",Unprofessional Conduct and Behavior,High
"Road widening project is left unfinished""",Roads & Infrastructure,Medium
"Garbage collection happens only once a month""",Waste Management,High
"Tap water is dirty and unsafe to drink""",Water Services,High
"Streetlights in the plaza are all broken""",Electricity Services,Medium
"Corruption in bidding for projects""",Governance and Integrity Concerns,High
"Garbage bins are overflowing""",Waste Management,Medium
"The highway is damaged after heavy rains""",Roads & Infrastructure,High
"Water supply disruptions happen weekly""",Water Services,Medium
"Officials ask for money to speed up processing""",Governance and Integrity Concerns,High
"Electricity was cut without notice""",Electricity Services,High
"Public transport fares increased unfairly""",Transportation,High
"Workers are underpaid compared to the law""",Workforce Concerns,High
The licensing office is disorganized,Procedural and Operational Issues,Low
"Staff behave arrogantly towards clients""",Unprofessional Conduct and Behavior,Medium
"Complaints take months to resolve""",Service Delays and Inaction,High
"No timely updates on service requests""",Service Delays and Inaction,Medium
"Employees laugh at clients at people's concerns""",Unprofessional Conduct and Behavior,High
The queue system is broken and confusing,Procedural and Operational Issues,Medium
"No response to email inquiries""",Service Delays and Inaction,Low
"Clerk and employee scolded people in public""",Unprofessional Conduct and Behavior,High
"Road cracks make driving unsafe""",Roads & Infrastructure,High
"Garbage is dumped illegally in open spaces""",Waste Management,Medium
"Water is rationed with no explanation""",Water Services,High
"Transformer exploded causing blackout""",Electricity Services,High
"Fake receipts issued by officials""",Governance and Integrity Concerns,High
"Trash blocks the drainage system""",Waste Management,High
"Unpaved roads make access difficult""",Roads & Infrastructure,Medium
"Water lines burst frequently""",Water Services,Medium
"Bribes required for police clearance""",Governance and Integrity Concerns,High
Power outage damaged appliances,Electricity Services,High
Bus fare increases are unjustified,Transportation,Medium
Overpricing of vegetables in the market,Overpricing,High
Processing takes too many unnecessary steps,Procedural and Operational Issues,Medium
Rude and sarcastic staff at city hall,Unprofessional Conduct and Behavior,High
Requests are always pending,Service Delays and Inaction,High
No clear timeline for case resolution,Service Delays and Inaction,Medium
Clerks gossip instead of working,Unprofessional Conduct and Behavior,Medium
The online appointment system always fails,Procedural and Operational Issues,High
No resolution for long-pending requests,Service Delays and Inaction,High
Employees mock citizens,Unprofessional Conduct and Behavior,High
Road repairs take forever to finish,Roads & Infrastructure,Medium
Uncollected garbage attracts pests,Waste Management,High
Water supply is unsafe and smells bad,Water Services,High
Streetlights have not been fixed for months,Electricity Services,Medium
Corruption in contract approvals,Governance and Integrity Concerns,High
Trash not picked up in residential areas,Waste Management,Medium
Broken road damages vehicles,Roads & Infrastructure,High
Frequent water shortages affect households,Water Services,Medium
Officials demand favors for approval,Governance and Integrity Concerns,High
Electric posts left unrepaired pose danger,Electricity Services,High
Tricycle fares doubled without reason,Transportation,High
Workers are exploited with long hours,Workforce Concerns,High
Application process has too many redundancies,Procedural and Operational Issues,Medium
Rude staff make citizens uncomfortable,Unprofessional Conduct and Behavior,High
No updates after complaint submission,Service Delays and Inaction,High
Delayed responses to urgent concerns,Service Delays and Inaction,Medium
Clerks are dismissive and lazy,Unprofessional Conduct and Behavior,Medium
The queue management system is inefficient,Procedural and Operational Issues,Low
No answer on hotline for weeks,Service Delays and Inaction,High
Employees insult people asking for help,Unprofessional Conduct and Behavior,High
Bridge remains unrepaired after collapse,Roads & Infrastructure,High
Uncollected trash causes health risks,Waste Management,High
Water supply interruptions are constant,Water Services,Medium
Frequent brownouts leave community helpless,Electricity Services,High
Officials ask for bribes to release documents,Governance and Integrity Concerns,High
Garbage piles block pedestrian walkways,Waste Management,Medium
Road surfaces are uneven and unsafe,Roads & Infrastructure,Medium
Water services are not reliable,Water Services,Medium
Bribes common in employment processes,Governance and Integrity Concerns,High
Power outage lasted all night,Electricity Services,High
Drivers charge double the fare,Transportation,High
Goods in the store are overpriced,Overpricing,High
Document release takes too long,Procedural and Operational Issues,Medium
Staff shouted at elderly citizens,Unprofessional Conduct and Behavior,High
No action despite repeated reports,Service Delays and Inaction,High
Response time is always too slow,Service Delays and Inaction,Medium
Clerks are not courteous,Unprofessional Conduct and Behavior,Low
The online system crashes constantly,Procedural and Operational Issues,High
Months pass without complaint resolution,Service Delays and Inaction,High
Employees ignore customers,Unprofessional Conduct and Behavior,High
Road construction blocks traffic for weeks,Roads & Infrastructure,Medium
Garbage scattered near school,Waste Management,High
Low water pressure disrupts daily chores,Water Services,Medium
Frequent outages damage businesses,Electricity Services,High
Officials falsify records,Governance and Integrity Concerns,High
Waste disposal is not managed well,Waste Management,Medium
Damaged roads cause accidents,Roads & Infrastructure,High
Water delivery is unreliable,Water Services,Medium
Corruption in government projects,Governance and Integrity Concerns,High
Electric posts lean dangerously,Electricity Services,High
Public transport fares keep increasing,Transportation,High
Employees are underpaid and exploited,Workforce Concerns,High
Application process takes too long,Procedural and Operational Issues,Medium
Government staff are unhelpful,Unprofessional Conduct and Behavior,Medium
No resolution to long-standing complaints,Service Delays and Inaction,High
Follow-ups receive no response,Service Delays and Inaction,Medium
Staff behavior is inappropriate,Unprofessional Conduct and Behavior,High
The system for processing IDs is faulty,Procedural and Operational Issues,Medium
No feedback after filing a request,Service Delays and Inaction,Low
Employees treat citizens badly,Unprofessional Conduct and Behavior,High
The tricycle I rode was expensive to charge,Transportation,High
"Good day. I would like to report that there is a large pothole on our street that has been left unrepaired for a long time. This causes difficulties for motorists and residents, especially during rainy days when the hole fills with water and becomes a hazard.",Procedural and Operational Issues,High
"Magandang araw po. Nais ko pong ireport na may malaking butas sa kalsada sa aming lugar na matagal nang hindi naaayos. Nagdudulot ito ng panganib para sa mga motorista at residente, lalo na kapag umuulan at napupuno ng tubig ang butas.",Procedural and Operational Issues,High
"Every night, the water pressure in our area becomes extremely weak. Residents are unable to properly wash dishes, clean, or even take baths.",Water Services,High
"Gabi-gabi ay sobrang hina ng tubig sa aming lugar. Hirap ang mga residente na maghugas, maglinis, o maligo dahil halos walang lumalabas na tubig sa gripo.",Water Services,High
"The processing of documents at the city hall is taking too long. Residents are forced to wait in line for hours, and sometimes they are asked to return the next day.",Procedural and Operational Issues,Medium
Napakatagal ng proseso ng mga dokumento sa city hall. Pinapaghihintay ng matagal ang mga residente at minsan pinapabalik pa kinabukasan.,Procedural and Operational Issues,Medium
"We are concerned about the project at the street corner. Up to now, there has been no transparency regarding the use of funds.",Governance and Integrity Concerns,High
"Nag-aalala po kami tungkol sa proyekto sa kanto. Hanggang ngayon, walang malinaw na transparency tungkol sa paggamit ng pondo.",Governance and Integrity Concerns,High
"Garbage has not been collected in our neighborhood for several days. Trash has piled up, causing foul odor and attracting pests.",Waste Management,High
Ilang araw nang hindi nakokolekta ang basura sa aming lugar. Naiipon ito at nagdudulot ng mabahong amoy at peste.,Waste Management,High
Some workers in the ongoing road project are asking residents for extra payment not included in the official billing.,Overpricing,High
May ilang manggagawa sa proyekto sa kalsada na nanghihingi ng dagdag na bayad sa mga residente na wala sa opisyal na singil.,Overpricing,High
Several residents have complained that some staff members at the barangay office speak rudely when people bring up their concerns.,Unprofessional Conduct and Behavior,Medium
Maraming residente ang nagrereklamo na may ilang kawani sa barangay na bastos at hindi magalang kapag may hinaing ang tao.,Unprofessional Conduct and Behavior,Medium
"Street sweepers in our area are frequently absent, leaving trash scattered on the sidewalks.",Waste Management,Medium
Madalas pong wala ang mga street sweeper sa aming lugar kaya naiwan ang basura sa kalsada at bangketa.,Waste Management,Medium
Napakataas ng budget ng bagong proyekto ng barangay kumpara sa mga proyekto sa karatig na lugar.,Governance and Integrity Concerns,High
The budget for the new barangay project is unusually high compared to similar projects nearby.,Governance and Integrity Concerns,High
"City hall staff are often late in opening their counters, forcing residents to wait longer before they can be served.",Unprofessional Conduct and Behavior,Low
Madalas pong nahuhuli ang mga empleyado ng city hall sa pagbubukas ng counter kaya matagal maghintay ang mga residente.,Unprofessional Conduct and Behavior,Low
"Trash bins in our street are always overflowing and not regularly emptied, causing bad smell around the neighborhood.",Waste Management,High
"Laging umaapaw ang mga basurahan sa aming kalsada at hindi agad naaalis, nagdudulot ng mabahong amoy sa paligid.",Waste Management,High
Barangay officials failed to provide a financial report regarding the recent community project.,Governance and Integrity Concerns,High
Hindi nagbigay ng financial report ang mga opisyal ng barangay tungkol sa huling proyekto ng komunidad.,Governance and Integrity Concerns,High
Employees at city hall are inattentive and often ignore residents seeking help with documents.,Unprofessional Conduct and Behavior,Medium
Madalas hindi pinapansin ng mga empleyado sa city hall ang mga residente na humihingi ng tulong sa dokumento.,Unprofessional Conduct and Behavior,Medium
The construction project on our street has been delayed for months without clear explanation.,Procedural and Operational Issues,High
Matagal nang delayed ang proyekto sa aming kalsada at wala pang malinaw na paliwanag.,Procedural and Operational Issues,High
Public funds are being used for unnecessary decorations instead of essential community services.,Governance and Integrity Concerns,High
Ginagamit ang pondo ng bayan sa mga dekorasyon kaysa sa mahahalagang serbisyo para sa komunidad.,Governance and Integrity Concerns,High
Barangay staff shout at residents instead of calmly assisting them with their concerns.,Unprofessional Conduct and Behavior,Medium
Sumisigaw ang ilang staff ng barangay sa mga residente imbes na tulungan sila nang maayos.,Unprofessional Conduct and Behavior,Medium
Workers at the construction site are not being given proper wages and benefits.,Workforce Concerns,High
Hindi nabibigyan ng tamang sahod at benepisyo ang mga manggagawa sa konstruksyon.,Workforce Concerns,High
Madalas hindi nadadaanan ng garbage truck ang aming kalsada kaya naiiwan ang mga basura.,Waste Management,Medium
"Garbage trucks often skip our street, leaving uncollected trash behind.",Waste Management,Medium
Residents are required to submit too many unnecessary documents for simple transactions.,Procedural and Operational Issues,Low
Sobrang daming hinihinging dokumento para sa simpleng transaksyon sa barangay.,Procedural and Operational Issues,Low
Barangay officials refuse to release details of expenses for the fiesta celebration.,Governance and Integrity Concerns,High
